run_tag,strategy,profile,concurrency,endpoint,method,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
atomic_update_spike_c5_rep1,atomic_update,spike,5,/items/:id/reserve [POST],POST,794,19,56.52,12.09,12.0,16.0,18.0
atomic_update_spike_c5_rep1,atomic_update,spike,5,/metrics/consistency [GET],GET,116,0,8.26,12.07,12.0,16.0,18.0
atomic_update_spike_c5_rep1,atomic_update,spike,5,/reservations/:id/release [POST],POST,213,0,15.16,14.12,14.0,18.0,26.0
atomic_update_spike_c5_rep2,atomic_update,spike,5,/items [GET],GET,651,0,46.27,8.19,8.0,12.0,14.0
atomic_update_spike_c5_rep2,atomic_update,spike,5,/items/:id [GET],GET,685,0,48.69,6.88,7.0,11.0,12.0
atomic_update_spike_c5_rep2,atomic_update,spike,5,/items/:id/reserve [POST],POST,793,28,56.36,12.39,12.0,17.0,19.0
atomic_update_spike_c5_rep2,atomic_update,spike,5,/metrics/consistency [GET],GET,116,0,8.24,12.69,12.0,17.0,19.0
atomic_update_spike_c5_rep2,atomic_update,spike,5,/reservations/:id/release [POST],POST,243,0,17.27,14.31,14.0,19.0,22.0
atomic_update_write_heavy_c100_rep1,atomic_update,write_heavy,100,/items [GET],GET,1154,0,82.31,302.1,300.0,440.0,550.0
atomic_update_write_heavy_c100_rep1,atomic_update,write_heavy,100,/items/:id [GET],GET,1176,0,83.88,302.03,290.0,440.0,590.0
atomic_update_write_heavy_c100_rep1,atomic_update,write_heavy,100,/items/:id/reserve [POST],POST,1256,33,89.58,314.67,310.0,460.0,590.0
atomic_update_write_heavy_c100_rep1,atomic_update,write_heavy,100,/metrics/consistency [GET],GET,187,0,13.34,322.08,310.0,480.0,710.0
atomic_update_write_heavy_c100_rep1,atomic_update,write_heavy,100,/reservations/:id/release [POST],POST,334,0,23.82,330.17,320.0,470.0,600.0
atomic_update_write_heavy_c100_rep2,atomic_update,write_heavy,100,/items [GET],GET,1118,0,79.6,306.27,300.0,470.0,590.0
atomic_update_write_heavy_c100_rep2,atomic_update,write_heavy,100,/items/:id [GET],GET,1134,0,80.74,297.91,290.0,440.0,560.0
atomic_update_write_heavy_c100_rep2,atomic_update,write_heavy,100,/items/:id/reserve [POST],POST,1345,46,95.77,317.83,310.0,470.0,600.0
atomic_update_write_heavy_c100_rep2,atomic_update,write_heavy,100,/metrics/consistency [GET],GET,172,0,12.25,316.96,310.0,460.0,570.0
atomic_update_write_heavy_c100_rep2,atomic_update,write_heavy,100,/reservations/:id/release [POST],POST,330,0,23.5,328.53,320.0,480.0,540.0
atomic_update_write_heavy_c20_rep1,atomic_update,write_heavy,20,/items [GET],GET,348,0,86.68,32.89,35.0,55.0,92.0
atomic_update_write_heavy_c20_rep1,atomic_update,write_heavy,20,/items/:id [GET],GET,372,0,92.65,30.13,33.0,50.0,62.0
atomic_update_write_heavy_c20_rep1,atomic_update,write_heavy,20,/items/:id/reserve [POST],POST,405,12,100.87,44.5,46.0,72.0,100.0
